,正常均值,钓鱼均值,差异,差异比例
url_length,19.58925,53.5385,33.94925,1.732966654330598
domain_length,11.58925,22.0815,10.492249999999999,0.9052652013545868
path_length,0.0,17.582,17.582,17582.0
num_dots,1.05,2.0445,0.9945000000000002,0.9462416745956235
num_hyphens,0.0735,0.80775,0.73425,9.855704697986576
num_underscores,0.0,0.165,0.165,165.0
num_slashes,2.0,3.60475,1.6047500000000001,0.8019740129935033
num_digits,0.12225,4.85475,4.7325,38.39756592292089
has_ip,0.0,0.004,0.004,4.0
has_at,0.0,0.01575,0.01575,15.75
num_subdomains,0.0,0.83775,0.83775,837.75
has_https,1.0,0.91975,-0.08025000000000004,-0.08016983016983022
path_depth,0.0,1.2485,1.2485,1248.5
has_port,0.0,0.00025,0.00025,0.25
entropy,3.6723485938201255,4.309031216894426,0.6366826230743006,0.1733248579090551
is_shortening,0.0515,0.03675,-0.01475,-0.28095238095238095
has_suspicious,0.019,0.0825,0.0635,3.175
