特征,重要性,RF排名,互信息,MI排名,平均排名
path_length,0.2541618994930396,1,0.5310852342760657,3,2.0
num_slashes,0.2242557220493427,2,0.5312467374267078,2,2.0
url_length,0.1584055065703497,3,0.5337824318938613,1,2.0
num_subdomains,0.12418024317738004,4,0.39160812150840885,5,4.5
num_dots,0.08025734172703629,5,0.35241180529172667,6,5.5
entropy,0.034842276494489434,7,0.51226943990421,4,5.5
path_depth,0.05429887178551027,6,0.29756510092771826,8,7.0
domain_length,0.03178077523179659,8,0.30293814008439135,7,7.5
num_digits,0.014803424135437329,10,0.2111964384665368,9,9.5
has_https,0.01835973951866806,9,0.03311113571336288,12,10.5
num_hyphens,0.002929258414890398,11,0.09077293548812149,10,10.5
num_underscores,0.00030954504763915715,13,0.03504085244037736,11,12.0
has_suspicious,0.0011311298769427713,12,0.006984555627743472,14,13.0
has_at,5.128619070741477e-06,15,0.011785553005521976,13,14.0
is_shortening,0.0002791378584069227,14,0.0,17,15.5
has_ip,0.0,16,0.002563578619319662,15,15.5
has_port,0.0,17,0.0,16,16.5
